solve_message = 'CONOPT 3.17A Locally infeasible; objective 655.3634589
58 iterations; evals nf = 4, ng = 0, nc = 784, nJ = 66, nH = 0, nHv = 7'

            _varname               _var          =
485    'x[2,23,1]'                 0.00139479
486    'x[2,23,2]'                 0.998605
487    'x[2,23,3]'                 1.3974e-07
488    'x[2,24,1]'                 0.0037221
489    'x[2,24,2]'                 0.996278
490    'x[2,24,3]'                 5.89107e-08
491    'x[2,25,1]'                 0.00989824
492    'x[2,25,2]'                 0.990102
493    'x[2,25,3]'                 2.47287e-08
494    'x[2,26,1]'                 0.0260823
495    'x[2,26,2]'                 0.973918
496    'x[2,26,3]'                 1.02631e-08
497    'x[2,27,1]'                 0.0671154
498    'x[2,27,2]'                 0.932885
499    'x[2,27,3]'                 4.13603e-09
500    'x[2,28,1]'                 0.162911
501    'x[2,28,2]'                 0.837089
502    'x[2,28,3]'                 1.55059e-09
503    'x[2,29,1]'                 0.348304
504    'x[2,29,2]'                 0.651696
505    'x[2,29,3]'                 4.9673e-10
506    'x[2,30,1]'                 0.600884
507    'x[2,30,2]'                 0.399116
508    'x[2,30,3]'                 1.21972e-10
509    'CC[2]'                     0
510    'CC[3]'                     0
511    'CC[4]'                     0
512    'CC[5]'                     0
513    'CC[6]'                     0
514    'CC[7]'                     0
515    'CC[8]'                     0
516    'CC[9]'                     0
517    'CC[10]'                    0
518    'CC[11]'                    0
519    'CC[12]'                    0
520    'CC[13]'                    0
521    'CC[14]'                    0
522    'CC[15]'                    0
523    'CC[16]'                    0
524    'CC[17]'                    0
525    'CC[18]'                    0
526    'CC[19]'                    0
527    'CC[20]'                    0
528    'CC[21]'                    0
529    'CC[22]'                    0
530    'CC[23]'                    0
531    'CC[24]'                    0
532    'CC[25]'                    0
533    'CC[26]'                    0
534    'CC[27]'                    0
535    'CC[28]'                    0
536    'CC[29]'                    0
537    'CR[2]'                     0
538    'CR[3]'                     0
539    'CR[4]'                     0
540    'CR[5]'                     0
541    'CR[6]'                     0
542    'CR[7]'                     0
543    'CR[8]'                     0
544    'CR[9]'                     0
545    'CR[10]'                    0
546    'CR[11]'                    0
547    'CR[12]'                    0
548    'CR[13]'                    0
549    'CR[14]'                    0
550    'CR[15]'                    0
551    'CR[16]'                    0
552    'CR[17]'                    0
553    'CR[18]'                    0
554    'CR[19]'                    0
555    'CR[20]'                    0
556    'CR[21]'                    0
557    'CR[22]'                    0
558    'CR[23]'                    0
559    'CR[24]'                    0
560    'CR[25]'                    0
561    'CR[26]'                    0
562    'CR[27]'                    0
563    'CR[28]'                    0
564    'CR[29]'                    0
565    'PC[1]'                    30
566    'PC[2]'                     4.62713e-16
567    'PR[1]'                    30
568    'PR[2]'                     8.0183e-14
569    'PS[2]'                     0
570    'PS[3]'                     0
571    'PS[4]'                     0
572    'PS[5]'                     0
573    'PS[6]'                     0
574    'PS[7]'                     0
575    'PS[8]'                     0
576    'PS[9]'                     0
577    'PS[10]'                    0
578    'PS[11]'                    0
579    'PS[12]'                    0
580    'PS[13]'                    0
581    'PS[14]'                    0
582    'PS[15]'                    0
583    'PS[16]'                    0
584    'PS[17]'                    0
585    'PS[18]'                    0
586    'PS[19]'                    0
587    'PS[20]'                    0
588    'PS[21]'                    0
589    'PS[22]'                    0
590    'PS[23]'                    0
591    'PS[24]'                    0
592    'PS[25]'                    0
593    'PS[26]'                    0
594    'PS[27]'                    0
595    'PS[28]'                    0
596    'PS[29]'                    0
597    'T[1,1]'                  369.528
598    'T[1,2]'                  367.607
599    'T[1,3]'                  364.323
600    'T[1,4]'                  359.773
601    'T[1,5]'                  355.035
602    'T[1,6]'                  351.408
603    'T[1,7]'                  349.258
604    'T[1,8]'                  348.172
605    'T[1,9]'                  347.644
606    'T[1,10]'                 347.327
607    'T[1,11]'                 346.976
608    'T[1,12]'                 346.306
609    'T[1,13]'                 344.827
610    'T[1,14]'                 341.781
611    'T[1,15]'                 336.67
612    'T[1,16]'                 329.56
613    'T[1,17]'                 323.917
614    'T[1,18]'                 320.8
615    'T[1,19]'                 319.465
616    'T[1,20]'                 318.962
617    'T[1,21]'                 318.782
618    'T[1,22]'                 318.718
619    'T[1,23]'                 318.696
620    'T[1,24]'                 318.689
621    'T[1,25]'                 318.686
622    'T[1,26]'                 318.685
623    'T[1,27]'                 318.685
624    'T[1,28]'                 318.685
625    'T[1,29]'                 318.685
626    'T[1,30]'                 318.685
627    'T[2,1]'                  367.703
628    'T[2,2]'                  365.871
629    'T[2,3]'                  362.753
630    'T[2,4]'                  358.421
631    'T[2,5]'                  353.863
632    'T[2,6]'                  350.322
633    'T[2,7]'                  348.196
634    'T[2,8]'                  347.122
635    'T[2,9]'                  346.629
636    'T[2,10]'                 346.412
637    'T[2,11]'                 346.32
638    'T[2,12]'                 346.28
639    'T[2,13]'                 346.263
640    'T[2,14]'                 346.256
